#{"t_start": 1743693148.5832803, "env_id": "SuperMarioBros-v2"}
r,l,t
1877.0,294,54646.543608
1984.0,289,54653.536409
1990.0,253,54658.47833
3353.0,586,54672.103371
1989.0,282,54678.756361
2109.0,253,54682.670983
2991.0,377,54690.813035
2264.0,277,54697.189566
2278.0,301,54954.325458
2576.0,280,54961.114927
1808.0,213,54964.404782
2266.0,301,54970.146143
1481.0,214,54972.643812
1896.0,207,54975.969438
1486.0,180,54977.403371
2608.0,360,54981.708177
3438.0,547,54995.160968
2191.0,286,54998.075956
2032.0,274,55002.851268
1821.0,225,55004.782548
2362.0,310,55009.020625
2005.0,336,55015.396171
2701.0,358,55032.67015
2402.0,317,55037.166983
2256.0,272,55039.475255
1836.0,216,55051.142945
2584.0,850,55061.957011
1498.0,211,55069.952796
1885.0,286,55077.909235
2589.0,364,55083.366586
1930.0,241,55086.932227
2254.0,308,55089.548291
1513.0,204,55100.622738
1481.0,199,55102.357813
2701.0,369,55107.018101
2554.0,331,55109.908217
2064.0,263,55113.701059
2341.0,289,55116.29142
3079.0,369,55120.710293
1867.0,249,55124.203141
1827.0,211,55126.019323
2706.0,397,55139.823981
2105.0,229,55141.737103
2299.0,271,55145.679964
1891.0,230,55147.732533
2032.0,237,55151.232003
1491.0,180,55152.78837
2007.0,211,55154.609995
2554.0,308,55158.650735
2391.0,279,55162.683643
2916.0,359,55252.048054
1887.0,204,55255.279041
2951.0,419,55260.197455
2297.0,262,55262.296144
2253.0,232,55264.177012
2064.0,260,55267.560108
2827.0,396,55272.057244
3449.0,808,55286.362441
2667.0,328,55290.336131
2693.0,367,55295.324527
1884.0,265,55297.442667
1799.0,216,55300.590249
2744.0,487,55305.792444
1793.0,225,55307.636912
1973.0,317,55311.606061
1516.0,202,55320.474976
2541.0,338,55325.191411
2611.0,354,55328.081928
1844.0,245,55331.405549
2442.0,327,55335.356696
2432.0,394,55338.47859
2716.0,303,55342.253009
2762.0,434,55347.041666
1452.0,2153,55377.46011
2389.0,286,55379.89567
2228.0,309,55401.096531
2545.0,398,55409.758935
1503.0,184,55412.827644
2650.0,329,55418.592075
1542.0,234,55420.489184
1837.0,237,55423.879411
1845.0,278,55426.151263
3359.0,438,55430.982748
2020.0,271,55514.381976
2309.0,323,55517.445919
2265.0,303,55521.355097
1606.0,238,55523.227287
1478.0,174,55526.050176
2984.0,398,55530.581516
1486.0,228,55532.431434
2201.0,333,55536.548596
1504.0,176,55538.001763
2345.0,254,55540.074625
1813.0,247,55626.319206
2879.0,422,55631.10746
1737.0,224,55632.980419
1895.0,254,55636.504515
1815.0,246,55638.536829
1740.0,260,55641.992834
1521.0,204,55643.717795
2566.0,349,55647.911827
2357.0,364,55656.849865
2541.0,313,55660.852755
2835.0,417,55665.646121
1915.0,221,55667.331347
1524.0,225,55670.453044
1598.0,203,55672.100194
1590.0,222,55675.320441
1603.0,325,55678.859272
2203.0,277,55682.583112
1465.0,201,55684.183325
1512.0,220,55693.643673
1466.0,187,55695.125631
1734.0,236,55696.984792
2281.0,321,55700.810844
1759.0,218,55702.560855
3375.0,551,55709.868867
1492.0,196,55711.506982
3090.0,525,55717.501719
2229.0,255,55730.191934
1918.0,251,55733.725759
1911.0,269,55736.018652
1736.0,201,55738.956559
2682.0,391,55743.632263
1451.0,165,55745.055159
2154.0,301,55749.070822
3322.0,437,55752.816048
1483.0,177,55755.680275
2087.0,252,55764.264102
2989.0,396,55769.058716
1558.0,229,55770.821348
2376.0,304,55774.69628
2808.0,355,55779.946264
1907.0,242,55781.835969
2551.0,351,55786.006043
1668.0,228,55787.76636
2486.0,342,55797.785491
1833.0,266,55801.772233
1703.0,242,55803.836551
2452.0,376,55808.253013
1722.0,202,55809.965989
1450.0,154,55811.235551
2019.0,299,55814.949735
2652.0,366,55819.05596
2271.0,316,55821.457999
3266.0,398,55833.481126
1450.0,202,55836.768483
2696.0,300,55839.174172
1516.0,171,55840.6713
2614.0,344,55845.092581
2793.0,330,55849.190824
1505.0,170,55850.543025
3071.0,359,55854.713168
2490.0,291,55857.031635
2226.0,253,55939.453118
2566.0,514,55945.668996
2107.0,243,55947.59044
2222.0,285,55951.208617
1733.0,249,55953.260248
1979.0,269,55956.795717
1853.0,246,55958.820266
1844.0,205,55961.881932
2618.0,312,55964.231587
2470.0,268,55975.930494
2565.0,338,55980.733658
2372.0,296,55983.220284
1688.0,256,55986.635775
1536.0,234,55988.533056
2045.0,247,55991.939654
2043.0,285,55994.19298
2383.0,333,55998.166705
1506.0,170,55999.520502
