#{"t_start": 1743693148.5009587, "env_id": "SuperMarioBros-v2"}
r,l,t
2275.0,351,54105.621599
1430.0,209,54108.784271
2455.0,363,54116.545971
2263.0,318,54121.606108
1672.0,194,54126.544312
2408.0,393,54146.29773
1889.0,242,54151.914679
2808.0,391,54160.024576
2265.0,251,54163.58808
1812.0,231,54168.9884
2246.0,269,54173.104673
2698.0,361,54181.093186
2209.0,356,54188.340944
2242.0,364,54210.985064
1874.0,288,54217.29984
2013.0,279,54221.842786
3051.0,505,54231.706214
2239.0,306,54238.749188
2074.0,324,54246.461432
2743.0,350,54252.669091
2717.0,345,54260.203845
1829.0,257,54277.567991
1650.0,196,54282.822478
2450.0,321,54289.609598
1825.0,225,54295.279611
2032.0,226,54298.752892
2749.0,408,54307.183949
2294.0,256,54313.782899
2403.0,295,54318.380521
2268.0,321,54325.931339
3104.0,475,54464.41653
1524.0,260,54468.386014
1999.0,249,54474.361024
3058.0,376,54482.532282
1889.0,280,54486.659484
2252.0,319,54493.35365
1869.0,312,54498.279703
2271.0,344,54645.506725
1522.0,194,54649.136996
2049.0,308,54656.804707
1572.0,223,54660.638977
1480.0,185,54665.662258
2698.0,347,54673.481781
2641.0,363,54681.054508
2702.0,380,54689.235708
2265.0,291,54693.940751
2014.0,271,54952.42988
2245.0,267,54957.210859
1477.0,194,54962.255085
3160.0,426,54969.966857
2557.0,304,54973.410614
2340.0,295,54977.27623
1840.0,214,54979.073208
2159.0,272,54982.61208
2975.0,374,54987.283339
4229.0,799,55004.328349
2664.0,444,55009.925615
2382.0,341,55029.206153
1837.0,263,55032.607508
2682.0,405,55037.83843
4731.0,1183,55061.227412
1743.0,249,55069.045896
2390.0,337,55078.222407
1830.0,216,55082.231948
2291.0,304,55084.968841
3454.0,483,55090.454783
2220.0,280,55102.220053
2017.0,316,55106.473911
2067.0,260,55108.678258
1459.0,206,55110.499591
2654.0,333,55114.89495
3074.0,416,55119.843756
1883.0,266,55122.033765
1500.0,182,55125.05397
1906.0,256,55127.187836
2648.0,374,55140.74261
1553.0,223,55142.817228
2842.0,527,55148.994291
1494.0,190,55152.013811
3147.0,382,55156.718993
2321.0,285,55159.114056
1474.0,272,55163.145492
3258.0,350,55252.437328
2360.0,332,55256.664944
2268.0,341,55260.920954
1893.0,315,55263.511534
1857.0,245,55266.745311
2354.0,367,55269.638797
2712.0,323,55273.552794
2039.0,244,55276.873321
2586.0,348,55286.159719
1852.0,234,55289.327743
1466.0,182,55290.981083
1457.0,206,55293.000377
2180.0,272,55296.7511
2292.0,325,55300.73337
2837.0,328,55303.39592
2207.0,304,55307.130254
2128.0,257,55309.156308
1868.0,221,55312.421553
2101.0,230,55321.800014
1479.0,221,55325.271738
1870.0,218,55327.058997
2546.0,357,55331.312871
1684.0,245,55333.225749
1462.0,205,55336.184175
1618.0,222,55338.002233
2482.0,345,55342.100761
2290.0,272,55344.233749
1505.0,219,55347.336097
2251.0,247,55356.018049
2295.0,320,55360.286604
2348.0,371,55364.733977
3149.0,460,55370.218396
1984.0,237,55372.147155
1227.0,175,55373.556156
2976.0,342,55377.752592
1892.0,265,55380.012992
2679.0,843,55412.143196
1483.0,204,55417.336746
722.0,98,55418.125346
1835.0,246,55420.080941
