#{"t_start": 1743693151.637288, "env_id": "SuperMarioBros-v2"}
r,l,t
1513.0,2153,55887.751275
1513.0,2153,55903.682308
1513.0,2153,55919.613797
1513.0,2153,55935.408998
1898.0,221,55964.758534
1898.0,221,55966.21063
1898.0,221,55967.631852
1898.0,221,55969.251438
1898.0,221,55970.989608
1612.0,178,55998.931858
1612.0,178,56000.188424
1612.0,178,56001.522085
1612.0,178,56002.861113
1612.0,178,56004.176387
1896.0,217,56032.691708
1896.0,217,56034.273043
1896.0,217,56035.939196
1896.0,217,56037.601141
1896.0,217,56039.304008
2225.0,4180,56097.616573
2225.0,4180,56128.277784
2225.0,4180,56159.026317
2225.0,4180,56189.578479
2225.0,4180,56220.332657
1618.0,168,56249.641288
1618.0,168,56250.765855
1618.0,168,56251.978624
1618.0,168,56253.269621
1618.0,168,56254.546027
1954.0,2033,56296.379501
1954.0,2033,56311.534787
1954.0,2033,56326.862081
1954.0,2033,56341.990936
1954.0,2033,56357.094757
658.0,6016,56428.988291
658.0,6016,56472.874256
658.0,6016,56516.940558
658.0,6016,56580.418521
658.0,6016,56658.388624
610.0,2068,56710.743398
610.0,2068,56726.869417
610.0,2068,56742.934501
610.0,2068,56758.868042
610.0,2068,56774.324266
1881.0,205,56804.137073
1881.0,205,56805.523969
1881.0,205,56806.969103
1881.0,205,56808.57772
1881.0,205,56810.275062
1615.0,167,56839.690166
1615.0,167,56840.72271
1615.0,167,56841.799029
1615.0,167,56842.909248
1615.0,167,56844.161867
1618.0,165,56872.182321
1618.0,165,56873.324323
1618.0,165,56874.537342
1618.0,165,56875.762661
1618.0,165,56877.012739
1688.0,180,56906.340928
1688.0,180,56907.530474
1688.0,180,56908.858792
1688.0,180,56910.224198
1688.0,180,56911.611884
2507.0,397,56941.968879
2507.0,397,56944.912767
2507.0,397,56948.080316
2507.0,397,56951.212872
2507.0,397,56954.197064
786.0,6016,57027.981053
786.0,6016,57074.77251
786.0,6016,57121.075679
786.0,6016,57166.875564
786.0,6016,57211.144471
658.0,6016,57282.24691
658.0,6016,57327.467584
658.0,6016,57374.580719
658.0,6016,57421.350442
658.0,6016,57465.428469
1885.0,199,57495.53937
1885.0,199,57496.82034
1885.0,199,57498.1595
1885.0,199,57499.749185
1885.0,199,57501.439579
1693.0,178,57533.22073
1693.0,178,57534.389372
1693.0,178,57535.546917
1693.0,178,57536.747366
1693.0,178,57538.14117
1541.0,173,57567.224159
1541.0,173,57568.326914
1541.0,173,57569.434052
1541.0,173,57570.621207
1541.0,173,57571.882541
1686.0,4158,57630.776954
1686.0,4158,57662.234376
1686.0,4158,57693.385476
1686.0,4158,57723.934346
1686.0,4158,57756.032749
1903.0,211,57785.400623
1903.0,211,57786.848221
1903.0,211,57788.475999
1903.0,211,57790.12831
1903.0,211,57791.713093
402.0,6016,57864.507584
402.0,6016,57908.087639
402.0,6016,57956.271308
402.0,6016,58002.881138
402.0,6016,58048.738471
1880.0,194,58078.628035
1880.0,194,58079.987504
1880.0,194,58081.399943
1880.0,194,58082.972137
1880.0,194,58084.519048
1618.0,167,58123.609573
1618.0,167,58125.911811
1618.0,167,58127.750074
1618.0,167,58128.979136
1618.0,167,58130.22328
1622.0,164,58159.201491
1622.0,164,58160.26054
1622.0,164,58161.326191
1622.0,164,58162.519632
1622.0,164,58163.784892
1133.0,4082,58220.880155
1133.0,4082,58252.927783
1133.0,4082,58285.114484
1133.0,4082,58316.907811
1133.0,4082,58346.85747
